取引番号,日時,商品ID,種別,商品名,オプション,単価,数量,行合計,合計,受取額,お釣り
9001,2025/11/1 11:08,2000,food,フライドポテト,,300,1,300,500,1000,500
9001,2025/11/1 11:08,1000,drink,自家製コーヒー,,200,1,200,500,1000,500
9002,2025/11/1 11:10,2000,food,フライドポテト,,300,1,300,300,300,0
9003,2025/11/1 11:14,2003,food,揚げホイップパン,,300,1,300,800,1000,200
9003,2025/11/1 11:14,2000,food,フライドポテト,,300,1,300,800,1000,200
9003,2025/11/1 11:14,1000,drink,自家製コーヒー,,200,1,200,800,1000,200
9004,2025/11/1 11:20,2003,food,揚げホイップパン,,300,1,300,500,5000,4500
9004,2025/11/1 11:20,1000,drink,自家製コーヒー,,200,1,200,500,5000,4500
9005,2025/11/1 11:26,2000,food,フライドポテト,,300,1,300,800,800,0
9005,2025/11/1 11:26,2001,food,スマイルポテト,,300,1,300,800,800,0
9005,2025/11/1 11:26,1000,drink,自家製コーヒー,,200,1,200,800,800,0
9006,2025/11/1 11:27,2002,food,大盛りポテト,,600,1,600,600,1000,400
9007,2025/11/1 11:37,2003,food,揚げホイップパン,,300,1,300,300,300,0
9008,2025/11/1 11:39,2000,food,フライドポテト,,300,1,300,300,300,0
9009,2025/11/1 11:40,2003,food,揚げホイップパン,,300,1,300,1000,1000,0
9009,2025/11/1 11:40,2003,food,揚げホイップパン,,300,1,300,1000,1000,0
9009,2025/11/1 11:40,1000,drink,自家製コーヒー,,200,1,200,1000,1000,0
9009,2025/11/1 11:40,1000,drink,自家製コーヒー,,200,1,200,1000,1000,0
9010,2025/11/1 11:48,2003,food,揚げホイップパン,,300,1,300,300,300,0
9011,2025/11/1 12:41,2003,food,揚げホイップパン,,300,1,300,300,300,0
9012,2025/11/1 12:45,1000,drink,自家製コーヒー,,200,1,200,200,500,300
9013,2025/11/1 12:46,2003,food,揚げホイップパン,,300,1,300,900,900,0
9013,2025/11/1 12:46,2002,food,大盛りポテト,,600,1,600,900,900,0
9014,2025/11/1 12:48,2003,food,揚げホイップパン,,300,1,300,600,600,0
9014,2025/11/1 12:48,2000,food,フライドポテト,,300,1,300,600,600,0
9015,2025/11/1 12:48,2002,food,大盛りポテト,,600,1,600,600,1000,400
9016,2025/11/1 12:50,2003,food,揚げホイップパン,,300,1,300,300,300,0
9017,2025/11/1 13:00,2000,food,フライドポテト,,300,1,300,300,1000,700
9018,2025/11/1 13:02,2003,food,揚げホイップパン,,300,1,300,300,1000,700
9019,2025/11/1 13:04,2003,food,揚げホイップパン,,300,1,300,300,500,200
9020,2025/11/1 13:07,2003,food,揚げホイップパン,,300,1,300,300,300,0
9021,2025/11/1 13:10,2003,food,揚げホイップパン,,300,1,300,300,500,200
9022,2025/11/1 13:10,1000,drink,自家製コーヒー,,200,1,200,200,200,0
9023,2025/11/1 13:17,2003,food,揚げホイップパン,,300,1,300,300,1000,700
9024,2025/11/1 13:18,2002,food,大盛りポテト,,600,1,600,600,600,0
9025,2025/11/1 13:20,2002,food,大盛りポテト,,600,1,600,600,1000,400
9026,2025/11/1 13:21,2001,food,スマイルポテト,,300,1,300,300,300,0
9027,2025/11/1 13:23,2002,food,大盛りポテト,,600,1,600,600,5000,4400
9028,2025/11/1 13:26,2003,food,揚げホイップパン,,300,1,300,600,1000,400
9028,2025/11/1 13:26,2003,food,揚げホイップパン,,300,1,300,600,1000,400
9029,2025/11/1 13:27,2003,food,揚げホイップパン,,300,1,300,300,500,200
9030,2025/11/1 13:31,2002,food,大盛りポテト,,600,1,600,600,600,0
9031,2025/11/1 13:32,2003,food,揚げホイップパン,,300,1,300,300,500,200
9032,2025/11/1 13:35,2003,food,揚げホイップパン,,300,1,300,600,600,0
9032,2025/11/1 13:35,2003,food,揚げホイップパン,,300,1,300,600,600,0
9033,2025/11/1 13:47,2002,food,大盛りポテト,,600,1,600,600,1000,400
9034,2025/11/1 13:53,2003,food,揚げホイップパン,,300,1,300,300,300,0
9035,2025/11/1 13:54,1000,drink,自家製コーヒー,,200,1,200,200,200,0
9036,2025/11/1 13:54,2003,food,揚げホイップパン,,300,1,300,300,300,0
9037,2025/11/1 14:04,2002,food,大盛りポテト,,600,1,600,600,600,0
9038,2025/11/1 14:06,2000,food,フライドポテト,,300,1,300,500,1000,500
9038,2025/11/1 14:06,1000,drink,自家製コーヒー,,200,1,200,500,1000,500
9039,2025/11/1 14:09,1000,drink,自家製コーヒー,,200,1,200,200,200,0
9040,2025/11/1 14:14,1000,drink,自家製コーヒー,,200,1,200,200,200,0
9041,2025/11/1 14:16,2003,food,揚げホイップパン,,300,1,300,300,500,200
9042,2025/11/1 14:23,2002,food,大盛りポテト,,600,1,600,600,1000,400
9043,2025/11/1 14:25,2001,food,スマイルポテト,,300,1,300,300,500,200
9044,2025/11/1 14:31,2003,food,揚げホイップパン,,300,1,300,500,500,0
9044,2025/11/1 14:31,1000,drink,自家製コーヒー,,200,1,200,500,500,0
9045,2025/11/1 14:32,2000,food,フライドポテト,,300,1,300,300,500,200
9046,2025/11/1 14:33,2000,food,フライドポテト,,300,1,300,300,300,0
9047,2025/11/1 14:35,2001,food,スマイルポテト,,300,1,300,300,1000,700
